seed,day,day_label,slot,lambda,pc,p1,p2,p3,p4,edge_avg_wait,edge_E_avg_wait,edge_C_avg_wait,cloud_avg_wait,coord_avg_wait,edge_L,span_seconds,replication
1422308855,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.34347466272689153,0.5326853661694139,0.13282276116804312,0.801478016111637,0.6111879484426171,0.5453993116596741,14399.0,58
1422308855,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4642083942368635,0.654062181678731,0.2529204951850229,0.8106998514975411,0.6524117386026665,1.4697729490421978,14399.0,58
1422308855,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3695015229187272,0.5604084938983175,0.15745690858843167,0.796240192773913,0.5862264533104854,0.8047224291414935,14399.0,58
1422308855,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5177451696547091,0.7063111558630243,0.30843160896708977,0.7993366345641493,0.6461492381154633,1.8838603325612553,14399.0,58
1422308855,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4202011682405783,0.6097063127576724,0.2092334712300515,0.8042445885653395,0.6170512374384943,1.1821605058863522,14399.0,58
1422308855,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.38352384353686525,0.5742487412701666,0.17170267189434993,0.8085241647721951,0.65016595773715,0.9117847219913864,14399.0,58
110523350,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3424548418376869,0.5363047661535906,0.12789208795765178,0.7964256966525654,0.6275024671966436,0.5435183346424514,14399.0,59
110523350,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4453482761156738,0.6323319573572788,0.23776984404974058,0.7956857491346577,0.6258762186348371,1.406717848065357,14399.0,59
110523350,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.36515252761224093,0.5542041479352028,0.155230844411736,0.7959402805362767,0.6258548110582319,0.8120389670582379,14399.0,59
110523350,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5224225692616598,0.7126511210765467,0.31130427133357297,0.7897029083092425,0.6538461552314678,1.8883622100396975,14399.0,59
110523350,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.41311205355767083,0.6023555970793961,0.20345768307194445,0.7963875745960509,0.6472439953390486,1.16795462103474,14399.0,59
110523350,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37701688937776523,0.5675548418360665,0.16584564370102103,0.7937912009644115,0.6116149469453541,0.8956605830227943,14399.0,59
110523350,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.34316460613564026,0.53742618518569,0.12724633834341292,0.8049957532058062,0.5961437288091301,0.542571388518924,14399.0,59
110523350,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.43341145039915496,0.6190436354032746,0.22771634112568453,0.8076198560159866,0.6673172621098563,1.3509229325206247,14399.0,59
110523350,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3713079785207468,0.5617856801281936,0.16016952966102127,0.7989086168294511,0.626070542369433,0.8205702607478772,14399.0,59
110523350,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5156717221984608,0.7011692015275308,0.30903522946739387,0.8023350992161654,0.6509866857562355,1.8641394877334732,14399.0,59
110523350,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.418624282412983,0.607285889282636,0.2086431472896946,0.7950998847977848,0.6727452577885594,1.1791197320524587,14399.0,59
110523350,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3739442081585169,0.5609498108114126,0.16521697777234712,0.8030525756760898,0.6506575629968943,0.8752979784550771,14399.0,59
1298687639,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.341123556481842,0.5323694907528137,0.12917565167742806,0.7955500307731691,0.594238553278238,0.5407657684738194,14399.0,60
1298687639,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.45478039366688183,0.6433258220270838,0.2458022357127502,0.8071501489444142,0.6444013882508698,1.4550824874111568,14399.0,60
1298687639,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3678751751477429,0.5563483712010746,0.15866497806073382,0.8030112778791991,0.6192659909919674,0.800592852866843,14399.0,60
1298687639,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5014696982079996,0.6864668209971986,0.29554785170404907,0.7960618193108291,0.6413544171108285,1.834148319753059,14399.0,60
1298687639,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4086431596593444,0.594453794003747,0.2022383685843426,0.8012318262498925,0.6411153929737979,1.1534186606622039,14399.0,60
1298687639,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3719092809881031,0.5593862017278214,0.16375313016741355,0.8011917848565142,0.6409741732022708,0.8766303907727078,14399.0,60
1298687639,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3394959793460352,0.5282403594553265,0.12896998212568583,0.7988589589054086,0.6229767604898756,0.5294383093419835,14399.0,60
1298687639,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4406997147385811,0.6295084727117757,0.23144039532311908,0.8020317846727607,0.6665917622488899,1.3916672011364182,14399.0,60
1298687639,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37108084604298036,0.5626487241342061,0.15927825624814046,0.7998960185627615,0.6516083087661496,0.8245525153930937,14399.0,60
1298687639,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5237223907328536,0.7123354709379424,0.31382793166607126,0.7974071329531964,0.6629514894251658,1.9016080305781689,14399.0,60
1298687639,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4172859240696517,0.6063906457958641,0.20792798051188993,0.7990968114962368,0.6226902659179183,1.1859278133744209,14399.0,60
1298687639,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3836723225490818,0.5732450458116922,0.17330008419496234,0.805750029721531,0.583669375221792,0.9145624784257332,14399.0,60
2119393866,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3365318006778007,0.5250384060732313,0.127486285330237,0.793848519669526,0.6250878795814112,0.5311027598168166,14399.0,61
2119393866,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4478103775410764,0.636211890309367,0.23920184484971735,0.8034038532135555,0.6496022380431364,1.418195779307634,14399.0,61
2119393866,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.36867581508708686,0.5572761399409187,0.15909316592260644,0.7955072255502534,0.6132787864780789,0.8051261202453952,14399.0,61
2119393866,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5057037851969416,0.6941961039834431,0.29632478967449516,0.8023041787761233,0.6437795245503417,1.8277544544217819,14399.0,61
2119393866,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4133016203493899,0.601147733600566,0.20424643911728355,0.7875590684327768,0.6272586995972299,1.1559471390173366,14399.0,61
2119393866,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.377227977308558,0.562446507004388,0.17108790803199148,0.7971766842036756,0.6427048576049338,0.8801549500422471,14399.0,61
2119393866,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3336226558020794,0.5182966374652628,0.12819054763256052,0.8071461401145144,0.6326061076134609,0.5299176165601331,14399.0,61
2119393866,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4456530031459988,0.6329705574016601,0.23749531592047135,0.7993400474128287,0.6496918968552783,1.4066590277090423,14399.0,61
2119393866,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.36465993876930586,0.5526567001080035,0.15602176777146107,0.8016760933432832,0.6406830612576379,0.8039284044928707,14399.0,61
2119393866,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5050913916242866,0.689865236786673,0.3004708908154254,0.7957840363081101,0.6366387177299173,1.844483335953069,14399.0,61
2119393866,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.41158260914502875,0.6018409928984266,0.20002716209710228,0.7907898431753129,0.6796286040232314,1.1605720603171372,14399.0,61
2119393866,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37268571691391905,0.5617571067550956,0.16254787695116293,0.7970812930676477,0.615384506961437,0.8828606017038529,14399.0,61
1843378715,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3341112359457264,0.5198729449368699,0.12765203504033748,0.800988077482736,0.5912176256938517,0.5294174567218344,14399.0,62
1843378715,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.43953532805839846,0.627712385045407,0.23058029633346291,0.7945508573564596,0.662094488642239,1.3821598804886606,14399.0,62
1843378715,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.36873460610443676,0.5586998367331784,0.1575431417332044,0.7862994761514828,0.6227868159928407,0.8058178936237455,14399.0,62
1843378715,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5090488801380081,0.6934053534979777,0.30348683829752143,0.7993043249802405,0.6790413317145098,1.8383597310352402,14399.0,62
1843378715,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4252338693649381,0.6164121452405643,0.2128813449208947,0.8093744211577907,0.6396566733477554,1.211173793346402,14399.0,62
